project_id,project_name,is_crossborder,p_nom 0->1,p_nom 1->0,bus0,bus1,notes
1088,Latvia and Estonia Hybrid Off-Shore interconnector,True,1000,1000,EEOH001,LV00,"Raw border 'OBZ-LV00'. bus0 'OBZ' -> EEOH001, bus1 LV00 unchanged."
1092,TritonLink: offshore hybrid HVDC interconnector Belgium – Denmark,True,2000,2000,BEOH001,DKWOH01,"Raw border 'BE00-DKOBZ'. bus1 'DKOBZ' -> DKWOH01 (Danish Energy Island, North Sea/DKW1 side); bus0 BE00 unchanged."
1092,TritonLink: offshore hybrid HVDC interconnector Belgium – Denmark,True,1400,1400,DKW1,DKWOH01,"Raw border 'DKW1-DKOBZ'. bus1 'DKOBZ' -> DKWOH01, bus0 DKW1 unchanged."
1106,Bornholm Energy Island (BEI),True,2000,2000,DE00,BEIOH01,"Raw border 'DE00-BolEnergy'. bus1 'BolEnergy' -> BEIOH01 (Bornholm hub), bus0 DE00 unchanged."
1106,Bornholm Energy Island (BEI),True,1200,1200,BEIOH01,DKE1,"Raw border 'BolEnergy-DKE1'. bus0 'BolEnergy' -> BEIOH01, bus1 DKE1 unchanged."
1192,HansaLink - Phase 1,True,2000,2000,DE00,GB00,"Raw border 'DE00-UK00', bus0=DE00, bus1=GB00 - correct as-is, no bus correction needed (project description confirms both converter stations are onshore, in Germany and Scotland respectively; the promoter's own CAPEX note splits costs into a 'UK radial circuit' + an 'OBZ-Germany leg', but that offshore multi-terminal platform sits within the UK leg, not on the German side). Added purely to fill capacity: investment 1943 confirmed at 2000 MW each direction in the project PDF - missing from the raw export."
1193,HansaLink - Phase 2,True,2000,2000,DE00,GB00,"Raw border 'DE00-UK00', bus0=DE00, bus1=GB00 - correct as-is, no bus correction needed (follow-on from HansaLink Phase 1 / project 1192: additional offshore converter station and subsea cabling in UK Waters, same Fiddes onshore substation, same DE00-GB00 endpoints). Added purely to fill capacity: investment 1963 confirmed at 2000 MW each direction in the project PDF - missing from the raw export."
1200,"Hybrid interconnector Norway-Sørvest F Windfarm-Continent (DK, DE or BE)",True,1400,1400,NOSOH01,DEOH001,"Investment 1938, second leg - the Germany alternative, matching the raw border row 'DE00-NO00' given in the net capacity increase table. NOSOH01 -> DEOH001. (DK and BE alternatives, investments 1937/1939, removed from this file - see note below.)"
1200,"Hybrid interconnector Norway-Sørvest F Windfarm-Continent (DK, DE or BE)",True,1400,1400,NOS0,NOSOH01,"Raw border 'DE00-NO00' covers the full DE-NO link in one row; split per project PDF into investment legs. This is investment 1936, domestic leg: Kristiansand -> NOS0; Sørvest F windfarm hub -> NOSOH01."
1211,Baltic WindConnector (BWC),True,2000,700,EEOH001,DE00,"Raw border 'EEOF-DE00'. bus0 'EEOF' -> EEOH001 (Baltic/Gulf of Finland hub); bus1 DE00 kept as onshore zone (no fitting German hub, radial connection)."
1214,Hybrid Interconnector Denmark-Germany,True,2000,2000,DEOH001,DKWOH01,"Raw border 'DE00-DKW1' (plain zone-level); replaced with hub-to-hub per project PDF. bus0 -> DEOH001 (German offshore grid connection), bus1 -> DKWOH01 (Danish Energy Island, North Sea side)."
1217,Further Development of Offshore Renewables (MOG 3),False,2000,2000,BEOH001,BE00,"Raw border 'BE00Internal' (blank bus codes). bus0 -> BEOH001, bus1 -> BE00."
1218,Hybrid HVDC Interconnector BE-NL,True,2000,2000,BE00,NL00,"Raw border ‘BE00-NL60’, bus1 ‘NL60→NL00` (radially connected Dutch offshore hub in Open-TYNDP)"
