project_id,project_name,is_crossborder,p_nom 0->1,p_nom 1->0,bus0,bus1,notes
120,Princess Elisabeth Island (MOG 2),False,1400,1400,BEOH001,BE00,"Raw border 'internalBE00' (blank bus codes, 2 candidate AC+DC lines collapsed to 1, 1400 MW line used). bus0 -> BEOH001, bus1 -> BE00."
121,Nautilus: multi-purpose interconnector Belgium - UK,True,1400,1400,BEOH001,GB00,"Raw border 'BE00-UK00'. bus0 'BE00' -> BEOH001 (Princess Elisabeth Island hub), bus1 GB00 unchanged."
235,HVDC SuedLink Brunsbüttel/Wilster to Großgartach/Bergrheinfeld West,True,0,1150,DE00,DKW1,"Raw Border ‘DE00-DKW’ , bus1 `DKW` → DKW1"
235,HVDC SuedLink Brunsbüttel/Wilster to Großgartach/Bergrheinfeld West,True,2250,50,DE00,NL00,"Raw Border ‘DE00-NL00’, no change"
260,Project 260 – Multi-purpose HVDC interconnection between Great Britain and The Netherlands,True,1800,1800,GB00,NLOH001,"Raw Border ‘GB00-NL00’, map to offshore NL hub, reduce capacity from 2000 MW → 1800 MW"
335,North Sea Wind Power Hub,True,6000,6000,DE00,DEOH001,"Investments 1508 (Heide(West)) + 1509 (north of Bremen) + 1511 (Rastede) - three separate 2000 MW radial cables from different German onshore substations to the same German hub, all in the DE00 zone - summed into a single DE00-DEOH001 link: 3x2000 MW = 6000 MW each direction."
335,North Sea Wind Power Hub,True,4000,4000,NL00,NLOH001,Investments 1506+1507 (two separate 2000 MW cables on the same Maasvlakte 380kV -> Dutch hub route) summed into a single NL00-NLOH001 link: 2x2000 MW = 4000 MW each direction.
335,North Sea Wind Power Hub,True,2000,2000,DKWOH01,NLOH001,Investment 1817. Hub-to-hub link: Danish hub -> Dutch hub.
335,North Sea Wind Power Hub,True,2000,2000,DKWOH01,DEOH001,Investment 1818. Hub-to-hub link: Danish hub -> German hub.
335,North Sea Wind Power Hub,True,2000,2000,DKW1,DKWOH01,"Investment 1505. Raw border 'DE00-DK/NL00' is a single malformed row standing in for all 9 real HVDC connections, expanded per project PDF. REVSING (onshore DK West) -> Danish hub."
335,North Sea Wind Power Hub,True,2000,2000,NLOH001,DEOH001,Investment 1819. Hub-to-hub link: Dutch hub -> German hub.
1034,HVDC corridor from Northern Germany to Western Germany,True,2950,300,DE00,NL00,"Investment 1692, raw border ‘DE00-NL00’, no change, only listed here because of change in investment 1693"
1034,HVDC corridor from Northern Germany to Western Germany,True,0,650,DE00,DKW1,"Raw Border ‘DE00-DKW’ , bus1 `DKW` → DKW1, Investment 1693 HVDC from Heide/West to Polsum,  rename "
1088,Latvia and Estonia Hybrid Off-Shore interconnector,True,1000,1000,EE00,EEOH001,"Raw border 'EE00-OBZ'. bus1 'OBZ' -> EEOH001, bus0 EE00 unchanged."
