,t9998_wind generator 1
snapshot,p_max_pu
2013-03-01 00:00:00,0.1899
2013-03-01 06:00:00,0.5616
2013-03-01 12:00:00,0.772433333333333
2013-03-01 18:00:00,0.8814
2013-03-02 00:00:00,0.81945
2013-03-02 06:00:00,0.926616666666667
2013-03-02 12:00:00,0.83305
2013-03-02 18:00:00,0.548016666666667
2013-03-03 00:00:00,0.267566666666667
2013-03-03 06:00:00,0.204933333333333
2013-03-03 12:00:00,0.2739
2013-03-03 18:00:00,0.517766666666667
2013-03-04 00:00:00,0.65275
2013-03-04 06:00:00,0.75165
2013-03-04 12:00:00,0.856533333333333
2013-03-04 18:00:00,0.932516666666667
2013-03-05 00:00:00,0.927133333333333
2013-03-05 06:00:00,0.9476
2013-03-05 12:00:00,0.949916666666667
2013-03-05 18:00:00,0.942783333333333
2013-03-06 00:00:00,0.931566666666667
2013-03-06 06:00:00,0.9478
2013-03-06 12:00:00,0.837966666666667
2013-03-06 18:00:00,0.428016666666667
2013-03-07 00:00:00,0.140783333333333
2013-03-07 06:00:00,0.0238333333333333
2013-03-07 12:00:00,0.0977166666666667
2013-03-07 18:00:00,0.1188
