pemmdb_carrier,pemmdb_type,pemmdb_hydro_inflows,pecd_carrier,investment_dataset_carrier,tyndp_output_carrier,tyndp_report_carrier,tyndp_vp_carrier,open_tyndp_carrier,open_tyndp_index,open_tyndp_nice_name,benchmarking_capacity,benchmarking_generation,benchmarking_generation_profiles,benchmarking_fed,benchmarking_elec_demand,benchmarking_ch4_demand,benchmarking_h2_demand,benchmarking_ch4_supply,benchmarking_h2_supply,benchmarking_biomass_supply,benchmarking_energy_imports,benchmarking_prices,benchmarking_shed_hours,open_tyndp_type,pypsa_eur_carrier,comment
Solar,Photovoltaic,,LFSolarPVUtility,Solar PV Utility,Solar (Photovoltaic),Solar,Solar PV Utility,solar-pv-utility,solar-pv-utility,Solar PV (Utility),solar,solar,solar,,,,,,,,,,,solar-pv-utility,,For non Italian nodes Utility and Rooftop share the same PECD profile called LFSolarPV
Solar,Rooftop,,LFSolarPVRooftop,Solar PV Rooftop,Solar (Photovoltaic),Solar,Solar PV Rooftop,solar-pv-rooftop,solar-pv-rooftop,Solar PV (Rooftop),solar,solar,solar,,,,,,,,,,,solar-pv-rooftop,,For non Italian nodes Utility and Rooftop share the same PECD profile called LFSolarPV
,,,,,,,Solar PV,,,,solar,solar,solar,,,,,,,,,,,,,
,,,,,,,DRES Solar PV,,,,solar,solar,solar,,,,,,,,,,,,,
Solar,Thermal Solar,,CSP_noStorage,,Solar (Thermal),,Solar Thermal,solar-thermal,solar-thermal,Solar Thermal,solar thermal,solar thermal,solar thermal,,,,,,,,,,,solar-thermal,,
Solar,Solar Thermal with Storage,,CSP_withStorage,,,,,solar-thermal-w-storage,solar-thermal-w-storage,Solar Thermal,solar thermal,solar thermal,solar thermal,,,,,,,,,,,solar-thermal-w-storage,,
Solar,Solar Thermal with Storage - Storage,,CSP_withStorage,,,,,solar-thermal-w-storage,solar-thermal-w-storage-storage,Solar Thermal,solar thermal,solar thermal,solar thermal,,,,,,,,,,,solar-thermal-w-storage-storage,,
Wind,Onshore wind,,Wind_Onshore,Wind Onshore,Wind Onshore,Wind Onshore,Wind Onshore,onwind,onwind,Onshore Wind,wind onshore,wind onshore,onshore wind,,,,,,,,,,,onwind,,
,,,,,,,DRES Wind On,,,,wind onshore,wind onshore,onshore wind,,,,,,,,,,,,,
Wind,Offshore wind,,Wind_Offshore,,Wind Offshore,Wind Offshore,Wind Offshore,offwind,offwind,Offshore Wind,wind offshore,wind offshore,offshore wind,,,,,,,,,,,offwind,,only used w/o offshore hubs
